id,STOI,PESQ,SI-SDR,MOS,MOS_z_score_vs_ref,MOS_percentile_rank_vs_ref,PESQ_z_score_vs_ref,PESQ_percentile_rank_vs_ref,STOI_z_score_vs_ref,STOI_percentile_rank_vs_ref,SI-SDR_z_score_vs_ref,SI-SDR_percentile_rank_vs_ref
LIM0004_0059_P__20250121__Re-narración_de_video__zH0m.wav,0.902171313762665,1.99003040790558,8.66590118408203,1.6702608,-0.643820736538206,26.582278481012658,-0.17842898527179715,46.835443037974684,0.3846367656437869,56.118143459915615,-0.19502018740859145,35.44303797468355
LIM0003_0101_A__20250306__Rutina__TtU1.wav,0.929876863956451,2.36089396476746,9.72570896148682,1.4606583,-0.9980323215346059,15.18987341772152,0.3474177080001846,62.869198312236286,0.5943385299981901,64.13502109704642,-0.08010182557051711,40.92827004219409
LIM0007_0031_A__20241115__Rutina__VyUc.wav,0.879440307617188,1.57549226284027,8.35161113739014,1.5796012,-0.7970282632191361,20.675105485232066,-0.7662017895402883,28.69198312236287,0.21258704777438953,44.72573839662447,-0.22909966679898355,34.177215189873415
LIM0008_0100_P__20250326__Recuerdo_agradable__mlLm.wav,0.94613778591156,2.66596603393555,16.1543750762939,1.5694389,-0.814201743450569,19.831223628691983,0.7799787828577681,75.10548523206751,0.7174165414494991,74.26160337552743,0.616979092750953,69.62025316455697
LIM0006_0026A__20241031__Re-narración_de_video__eb5Y.wav,0.890278100967407,1.98235368728638,13.8608903884888,1.8347634,-0.36582440213366096,39.66244725738397,-0.18931379203722035,46.413502109704645,0.29461770124825826,48.9451476793249,0.3682891804456557,61.18143459915612
LIM0006_0115_P__20250405__Recuerdo_agradable__itSf.wav,0.936480224132538,1.68669295310974,11.5218515396118,2.3709285,0.5402520515858947,71.72995780590718,-0.6085305538908384,32.91139240506329,0.6443189949197502,68.77637130801688,0.11465968411681993,49.36708860759494
TUM0007_0133A__20250219__Rutina__CZ2u.wav,0.897064030170441,2.06202840805054,12.3394680023193,1.8250053,-0.3823148164538783,38.81856540084388,-0.07634316530398859,50.63291139240506,0.3459800209534077,52.742616033755276,0.20331646368515807,53.58649789029536
LIM0007_0135_P__20250528__Recuerdo_agradable__64Gb.wav,0.96606832742691,2.5783634185791,16.0634307861328,1.6260961,-0.7184555733740764,23.628691983122362,0.6557672102865576,70.8860759493671,0.8682696987076786,87.76371308016878,0.6071177112186976,69.62025316455697
TUM0010_0100A__20241026__Re-narración_de_video__fC37.wav,0.891034066677094,2.21645879745483,15.3130826950073,1.860566,-0.3222200565603586,40.08438818565401,0.14262337402409617,58.64978902953587,0.3003395635467495,49.36708860759494,0.5257550572743931,66.66666666666667
LIM0007_0124_A__20250521__Rutina__bYme.wav,0.906864166259766,1.96035993099213,11.6324863433838,1.449144,-1.0174905744329446,15.18987341772152,-0.2204986949643863,45.14767932489452,0.4201567044868623,56.962025316455694,0.12665617129385157,50.21097046413502
LIM0007_0118_A__20250512__Re-narración_de_video__u6DV.wav,0.955023109912872,2.36533975601196,14.5130615234375,2.3037648,0.42675073060345087,68.35443037974683,0.353721386486902,63.29113924050633,0.784669063305339,81.0126582278481,0.43900619164735477,64.55696202531645
LIM0002_0192_A__20250602__Rutina__PmMO.wav,0.92624694108963,1.92688417434692,9.95452690124512,2.0304391,-0.03514800351112513,52.320675105485236,-0.26796390315473195,44.30379746835443,0.5668638462500407,63.71308016877637,-0.055290361306140734,41.77215189873418
LIM0002_0057_A__20250116__Rutina__3qKG.wav,0.911062777042389,2.1703610420227,13.8590974807739,1.490708,-0.9472507141317061,16.877637130801688,0.07726145907521438,55.27426160337553,0.45193575535555636,58.64978902953587,0.3680947697025795,61.18143459915612
LIM0002_0093_P__20250313__Recuerdo_agradable__iS7l.wav,0.785069763660431,1.50910639762878,7.79058313369751,1.6056917,-0.7529373895017493,21.940928270042196,-0.8603301746446316,27.0042194092827,-0.5016983366485235,22.78481012658228,-0.2899337354897412,31.645569620253166
LIM0007_0135_A__20250528__Recuerdo_agradable__UKLW.wav,0.948471248149872,2.30040979385376,14.1869173049927,1.707237,-0.5813338940189432,28.69198312236287,0.26165732340108083,61.18143459915612,0.7350783870005099,75.52742616033755,0.40364132633336863,62.025316455696206
LIM0006_0079_P__20250226__Lámina_1__u5EK.wav,0.8774294257164,1.46796536445618,5.37481069564819,1.2758677,-1.3103137653076316,8.438818565400844,-0.9186639630455814,25.31645569620253,0.19736679480868005,43.88185654008439,-0.5518837013920616,23.206751054852322
LIM0002_0091_A__20250307__Rutina__nndE.wav,0.892407119274139,1.83288192749023,9.2559175491333,2.4549606,0.6822596294133344,75.52742616033755,-0.40124950039160584,38.81856540084388,0.31073212208241485,51.89873417721519,-0.13104281757329733,38.81856540084388
LIM0006_0111_A__20250320__Rutina__9vln.wav,0.975001215934753,3.27555227279663,18.3261451721191,2.6887827,1.0774004156548467,87.76371308016878,1.6443098880264129,91.9831223628692,0.9358822336609097,90.71729957805907,0.8524711008510456,80.16877637130801
TUM0003_0049A__20241031__Rutina__YDvz.wav,0.857738077640533,1.76067698001862,7.91502380371094,1.5448782,-0.8557073766163042,18.143459915611814,-0.5036287505587067,35.86497890295359,0.04832407935478671,38.39662447257384,-0.2764402338860879,32.06751054852321
