id,STOI,PESQ,SI-SDR,MOS
LIM0004_0059_P__20250121__Re-narración_de_video__zH0m.wav,0.902171313762665,1.99003040790558,8.66590118408203,1.6702608
LIM0003_0101_A__20250306__Rutina__TtU1.wav,0.929876863956451,2.36089396476746,9.72570896148682,1.4606583
LIM0007_0031_A__20241115__Rutina__VyUc.wav,0.879440307617188,1.57549226284027,8.35161113739014,1.5796012
LIM0008_0100_P__20250326__Recuerdo_agradable__mlLm.wav,0.94613778591156,2.66596603393555,16.1543750762939,1.5694389
LIM0006_0026A__20241031__Re-narración_de_video__eb5Y.wav,0.890278100967407,1.98235368728638,13.8608903884888,1.8347634
LIM0006_0115_P__20250405__Recuerdo_agradable__itSf.wav,0.936480224132538,1.68669295310974,11.5218515396118,2.3709285
TUM0007_0133A__20250219__Rutina__CZ2u.wav,0.897064030170441,2.06202840805054,12.3394680023193,1.8250053
LIM0007_0135_P__20250528__Recuerdo_agradable__64Gb.wav,0.96606832742691,2.5783634185791,16.0634307861328,1.6260961
TUM0010_0100A__20241026__Re-narración_de_video__fC37.wav,0.891034066677094,2.21645879745483,15.3130826950073,1.860566
LIM0007_0124_A__20250521__Rutina__bYme.wav,0.906864166259766,1.96035993099213,11.6324863433838,1.449144
LIM0007_0118_A__20250512__Re-narración_de_video__u6DV.wav,0.955023109912872,2.36533975601196,14.5130615234375,2.3037648
LIM0002_0192_A__20250602__Rutina__PmMO.wav,0.92624694108963,1.92688417434692,9.95452690124512,2.0304391
LIM0002_0057_A__20250116__Rutina__3qKG.wav,0.911062777042389,2.1703610420227,13.8590974807739,1.490708
LIM0002_0093_P__20250313__Recuerdo_agradable__iS7l.wav,0.785069763660431,1.50910639762878,7.79058313369751,1.6056917
LIM0007_0135_A__20250528__Recuerdo_agradable__UKLW.wav,0.948471248149872,2.30040979385376,14.1869173049927,1.707237
LIM0006_0079_P__20250226__Lámina_1__u5EK.wav,0.8774294257164,1.46796536445618,5.37481069564819,1.2758677
LIM0002_0091_A__20250307__Rutina__nndE.wav,0.892407119274139,1.83288192749023,9.2559175491333,2.4549606
LIM0006_0111_A__20250320__Rutina__9vln.wav,0.975001215934753,3.27555227279663,18.3261451721191,2.6887827
TUM0003_0049A__20241031__Rutina__YDvz.wav,0.857738077640533,1.76067698001862,7.91502380371094,1.5448782
IQT0003_0184_A__20250314__Recuerdo_agradable__voJR.wav,0.979822099208832,2.20914220809937,14.5597066879272,2.9478056
LIM0003_0105_A__20250310__Lámina_1__H16R.wav,0.856206178665161,1.81143367290497,10.6875514984131,2.2046702
LIM0003_0171_A__20250605__Recuerdo_agradable__i9bg.wav,0.724889278411865,1.20633065700531,-0.397880673408508,1.5604593
IQT0012_0102_A__20250517__Recuerdo_agradable__boNz.wav,0.803091883659363,1.86776161193848,10.5622081756592,1.5426751
LIM0002_0064_A__20250126__Re-narración_de_video__9MGP.wav,0.890870273113251,1.73115015029907,8.0990571975708,1.6899506
LIM0007_0049_A__20250116__Rutina__KuGi.wav,0.964167475700378,2.69645977020264,21.0685043334961,2.1564689
LIM0008_0137_A__20250513__Recuerdo_agradable__pL0z.wav,0.929555296897888,2.18294072151184,17.3911113739014,1.6296514
Tum0004_0318__20250605__Rutina__0tSw.wav,0.93156760931015,2.39541006088257,14.4764013290405,1.9300299
TUM0004_0175__A__20250116__Lámina_1__lD52.wav,0.76394134759903,1.68451106548309,1.71407687664032,1.6263922
LIM0004_0063_A__20250129__Rutina__wwKp.wav,0.938182294368744,2.42572641372681,10.6384630203247,1.720949
TUM0009_0303_A__20250602__Re-narración_de_video__bJU9.wav,0.904092907905579,2.11559128761291,12.0451707839966,2.2180731
PRUEBA__Audifono_4__20250522__Recuerdo_agradable__DwDm.wav,0.82652872800827,1.32350611686707,6.92744445800781,1.329828
TUM0004_0126_A__20241111__Recuerdo_agradable__U5Kk.wav,0.820878386497498,1.51048374176025,5.67796945571899,0.9602138
LIM0004_0014_P__20241011__Recuerdo_agradable__o8gZ.wav,0.928244709968567,2.14226007461548,16.2858047485352,1.2981894
LIM0004_0103_A__20250317__Lámina_1__1DoJ.wav,0.897132396697998,2.06298685073853,8.86273002624512,2.2156534
LIM0007_0129_A__20250602__Lámina_1__n6kE.wav,0.854956984519959,1.70978307723999,14.0740594863892,1.8243567
LIM0004_0007_A__20241017__Recuerdo_agradable__fB2S.wav,0.841193914413452,1.48873639106751,8.91638660430908,1.1163825
LIM0004_0054_P__20250114__Rutina__msYT.wav,0.911009848117828,1.945432305336,11.6301765441895,1.7637795
TUM0003_0065_A__20241206__Rutina__LnRd.wav,0.960736989974976,2.24846887588501,14.9741735458374,1.8709123
LIM0007_0113_A__20250514__Recuerdo_agradable__wlAv.wav,0.922539591789246,2.03881001472473,11.5774812698364,1.7677735
IQT0012_0073_A__20250402__Recuerdo_agradable__ReIk.wav,0.808147311210632,1.57253050804138,9.15648555755615,1.7874652
LIM0007_0001_A__20241009__Recuerdo_agradable__OvXQ.wav,0.700613856315613,1.36064410209656,1.64532911777496,2.1941996
TUM0007_0187_A__20250416__Rutina__pZSR.wav,0.921460390090942,2.57666206359863,15.5961179733276,2.707929
TUM0003_0286_A__20250611__Recuerdo_agradable__UDjz.wav,0.832288146018982,1.46528494358063,5.42277145385742,1.4583092
TUM0008_0090__20241213__Rutina__WklP.wav,0.945422291755676,2.62589740753174,16.4436073303223,2.331412
IQT0007_0212_P__20250409__Re-narración_de_video__igur.wav,0.88602739572525,1.3287912607193,0.261687695980072,1.75643
IQT0011_0150_A__20250408__Re-narración_de_video__Z21M.wav,0.859117746353149,1.65452241897583,6.44645214080811,1.6156842
LIM0007_0092_A__20250410__Rutina__lxIp.wav,0.928093373775482,2.22056531906128,10.7172508239746,1.4138701
TUM0009_0283_A__20250527__Lámina_1__OQYX.wav,0.918219804763794,2.30092477798462,9.114426612854,2.1936882
HUA0004_0068A__20250129__Recuerdo_agradable__MGE2.wav,0.913205206394196,1.49796175956726,3.99798178672791,1.4917234
LIM0003_0154_P__20250509__Rutina__cnj2.wav,0.882323920726776,1.91043972969055,14.481858253479,2.0474813
PRUEBATum01_0001_P__20250227__Rutina__PhkZ.wav,0.714447796344757,1.29816365242004,-0.429339796304703,1.2140404
TUM0004_0082_A__20241022__Recuerdo_agradable__aBk4.wav,0.901634395122528,1.84049701690674,10.3187456130981,1.8725995
TUM0004_0109A__20250125__Rutina__BJLp.wav,0.93816751241684,1.52623081207275,11.2239980697632,2.4789865
LIM0007_0031_A__20241115__Recuerdo_agradable__JAiB.wav,0.917008519172668,1.86368632316589,10.2493352890015,1.881232
LIM0002_0002_P__20241026__Rutina__wJh3.wav,0.943010449409485,2.36646127700806,14.5896406173706,2.0596912
TUM0009_0169_A__20250305__Recuerdo_agradable__pVRC.wav,0.900787532329559,1.80747318267822,8.80519390106201,1.658556
LIM0004_0103_P__20250317__Rutina__rnyO.wav,0.868553698062897,1.79801821708679,10.6183938980103,1.884071
