deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
REDLAT_AF030_Fugu.wav,1.5836209,1.7348158,3.549894,1.9554995,2.3384311,NISQAv2
REDLAT_AF030_Phonological.wav,1.2185386,1.679807,3.1117837,1.4782971,1.499986,NISQAv2
REDLAT_AF030_Phonological2.wav,1.0859933,1.5151808,2.495153,1.4189872,1.644345,NISQAv2
REDLAT_AF030_Semantic.wav,1.2140867,1.6510489,3.1996365,1.4913535,1.6636579,NISQAv2
REDLAT_AF030_Semantic2.wav,1.2883228,1.6296704,3.5914423,1.6903137,1.9568567,NISQAv2
REDLAT_AF031_CraftDe.wav,1.4678658,1.3900335,2.5406249,1.9352698,2.3129137,NISQAv2
REDLAT_AF031_CraftIm.wav,1.6616913,1.6965399,2.6090412,2.0626178,2.3853767,NISQAv2
REDLAT_AF031_Fugu.wav,1.4787915,1.5615165,2.8816307,2.1163988,2.2587144,NISQAv2
REDLAT_AF031_Phonological.wav,1.190346,1.3657576,2.33025,1.7156645,1.9907775,NISQAv2
REDLAT_AF031_Phonological2.wav,1.676594,1.359268,2.3605006,1.9957775,2.5164092,NISQAv2
REDLAT_AF031_Semantic.wav,1.5584464,1.4491026,2.6969154,1.9000483,2.44164,NISQAv2
REDLAT_AF031_Semantic2.wav,1.4473034,1.3643647,2.3468964,1.8902074,2.4702792,NISQAv2
REDLAT_AF032_CraftDe.wav,1.1371319,1.5468498,2.5325925,1.5895596,1.6618721,NISQAv2
REDLAT_AF032_CraftIm.wav,1.1333133,1.6616718,2.6150715,1.6355382,1.5846881,NISQAv2
REDLAT_AF032_Fugu.wav,1.2674589,1.4508538,2.724661,1.7711964,2.0964458,NISQAv2
REDLAT_AF032_Phonological.wav,1.2240695,1.4920276,2.433227,1.7544385,1.834456,NISQAv2
REDLAT_AF032_Phonological2.wav,1.1736172,1.4774551,2.5419037,1.63817,1.8179266,NISQAv2
REDLAT_AF032_Semantic.wav,1.0736604,1.4051825,2.3257499,1.5751959,1.8083963,NISQAv2
REDLAT_AF032_Semantic2.wav,1.3779273,1.7423044,3.4997563,2.3115218,2.1484618,NISQAv2
REDLAT_AF033_CraftDe.wav,3.1630266,2.127578,3.9729066,3.5519578,3.7905495,NISQAv2
REDLAT_AF033_CraftIm.wav,2.579192,2.0608947,3.3266358,2.8675573,3.3631907,NISQAv2
REDLAT_AF033_Fugu.wav,3.5564172,2.6324723,4.2826414,3.946164,3.9224772,NISQAv2
REDLAT_AF033_Phonological.wav,1.9838183,2.011703,2.759138,2.2351239,2.9292836,NISQAv2
REDLAT_AF033_Phonological2.wav,2.178699,2.0657787,3.1825557,2.4383,3.0630069,NISQAv2
REDLAT_AF033_Semantic.wav,2.458892,2.0897229,2.7932472,2.6410434,3.3208187,NISQAv2
REDLAT_AF033_Semantic2.wav,2.2876427,2.057535,2.9691765,2.4876735,3.0356817,NISQAv2
REDLAT_AF034_CraftDe.wav,1.5886288,1.5255711,2.4714284,1.9019917,2.3830307,NISQAv2
REDLAT_AF034_CraftIm.wav,1.6168348,1.7306525,3.1037965,1.8000425,1.931566,NISQAv2
REDLAT_AF034_Fugu.wav,2.1398294,2.0621061,3.5398607,2.4570727,2.726867,NISQAv2
REDLAT_AF034_Phonological.wav,3.0103161,2.1504946,3.8926027,3.1738157,3.464059,NISQAv2
REDLAT_AF034_Phonological2.wav,2.5228863,2.0426185,3.4439552,2.87584,3.1849124,NISQAv2
REDLAT_AF034_Semantic.wav,2.6289217,1.9824947,3.5823364,2.8114579,3.2719035,NISQAv2
REDLAT_AF034_Semantic2.wav,1.8885059,1.8208705,3.081488,2.0158038,2.2779975,NISQAv2
REDLAT_AF035_CraftDe.wav,1.6791252,1.6548604,2.5463808,1.9903241,2.5057404,NISQAv2
REDLAT_AF035_CraftIm.wav,1.741369,1.892557,2.5623314,1.885287,2.4978776,NISQAv2
REDLAT_AF035_Fugu.wav,1.789117,1.6191592,2.9160833,2.0535152,2.374684,NISQAv2
REDLAT_AF035_Phonological.wav,1.7219716,1.6314371,3.267512,2.4411376,2.874768,NISQAv2
REDLAT_AF035_Phonological2.wav,1.9935802,1.806266,2.7640646,2.217787,2.9082766,NISQAv2
REDLAT_AF035_Semantic.wav,2.1171253,1.8366449,3.5524557,2.3098805,2.7939627,NISQAv2
REDLAT_AF035_Semantic2.wav,2.4668643,1.7980485,3.6525273,2.678381,3.1345851,NISQAv2
REDLAT_AF036_CraftDe.wav,1.9139096,1.8424914,3.3026881,2.3661096,2.6755803,NISQAv2
REDLAT_AF036_CraftIm.wav,1.9944834,1.761368,3.38726,2.501872,2.598156,NISQAv2
REDLAT_AF036_Fugu.wav,2.108721,1.8890022,3.5410635,2.562843,2.9207413,NISQAv2
REDLAT_AF036_Phonological.wav,1.9097373,1.744053,3.402025,2.4608223,2.6686766,NISQAv2
REDLAT_AF036_Phonological2.wav,2.0107818,1.9108207,3.4642274,2.558431,2.6845365,NISQAv2
REDLAT_AF036_Semantic.wav,2.1233928,1.9157351,3.5841134,2.8798606,2.8549616,NISQAv2
REDLAT_AF036_Semantic2.wav,1.5620601,1.5751259,3.0982935,1.8100884,2.0540009,NISQAv2
REDLAT_AF037_CraftDe.wav,1.9593573,1.6078992,2.8955135,2.2134438,2.7341404,NISQAv2
REDLAT_AF037_CraftIm.wav,1.6767166,1.7004989,2.8523624,2.0584795,2.172256,NISQAv2
REDLAT_AF037_Fugu.wav,1.836296,1.7812335,2.3101227,2.031561,2.6898038,NISQAv2
REDLAT_AF037_Phonological.wav,2.2013435,1.677558,3.2325654,2.6597211,2.837838,NISQAv2
REDLAT_AF037_Phonological2.wav,2.0047512,1.6959306,3.3218122,2.694315,2.8329883,NISQAv2
REDLAT_AF037_Semantic.wav,2.0430536,1.7302854,3.2322273,2.3375235,2.7658677,NISQAv2
REDLAT_AF037_Semantic2.wav,2.1136003,1.7320547,2.907119,2.4576452,2.922816,NISQAv2
REDLAT_AF038_CraftDe.wav,1.5837809,1.4961475,2.3873246,1.7508504,2.298404,NISQAv2
REDLAT_AF038_CraftIm.wav,1.8437425,1.9935102,3.4241726,2.3351033,2.1895475,NISQAv2
REDLAT_AF038_Fugu.wav,1.5480155,1.6662688,2.5676305,1.8626575,2.2523985,NISQAv2
REDLAT_AF038_Phonological.wav,1.6088234,1.9510028,3.3234224,2.2536724,1.810467,NISQAv2
REDLAT_AF038_Phonological2.wav,1.9484543,1.7471838,3.0968008,2.1396534,2.6667013,NISQAv2
REDLAT_AF038_Semantic.wav,1.5070575,1.4681334,2.7842774,1.8119122,2.122285,NISQAv2
REDLAT_AF038_Semantic2.wav,1.5222062,1.6217067,2.2095275,1.8373402,2.4967668,NISQAv2
REDLAT_AF039_CraftDe.wav,1.9762435,1.7655691,2.9175994,2.1424966,2.8632126,NISQAv2
REDLAT_AF039_CraftIm.wav,1.4795389,1.5491768,2.9943442,1.9611206,2.156893,NISQAv2
REDLAT_AF039_Fugu.wav,1.9969345,1.9466807,3.0743575,2.081825,2.9197218,NISQAv2
REDLAT_AF039_Phonological.wav,1.5120555,1.5333524,3.5472605,2.4470446,2.583442,NISQAv2
REDLAT_AF039_Phonological2.wav,2.2654424,1.6726177,3.8626344,3.2517898,3.1926033,NISQAv2
REDLAT_AF039_Semantic.wav,1.2718077,1.4905292,2.8423846,1.6179104,1.896354,NISQAv2
REDLAT_AF039_Semantic2.wav,1.3562835,1.5586054,3.0508237,1.652349,2.00785,NISQAv2
REDLAT_AF040_CraftDe.wav,1.4109572,1.7758842,2.103838,1.8086748,2.3923364,NISQAv2
REDLAT_AF040_CraftIm.wav,1.526485,2.0750737,2.5991278,1.9790301,1.9507296,NISQAv2
REDLAT_AF040_Fugu.wav,1.2680997,1.709956,2.3659296,1.7210484,1.7356942,NISQAv2
REDLAT_AF040_Phonological.wav,1.4192675,2.0616672,3.0404644,2.143948,1.8494259,NISQAv2
REDLAT_AF040_Phonological2.wav,1.4557202,1.8715467,2.8619032,1.8722175,1.909606,NISQAv2
REDLAT_AF040_Semantic.wav,1.3155255,1.759712,2.6015484,1.6815122,1.6956409,NISQAv2
REDLAT_AF040_Semantic2.wav,1.1584404,1.5815756,2.459681,1.6935742,1.5996306,NISQAv2
REDLAT_AF041_CraftDe.wav,1.4505755,1.5859156,2.8976355,1.5299057,2.007303,NISQAv2
REDLAT_AF041_CraftIm.wav,1.4247254,1.6665034,2.982733,1.6377608,2.0831153,NISQAv2
REDLAT_AF041_Fugu.wav,1.5683273,1.6675391,2.8775828,1.7455838,2.2301428,NISQAv2
REDLAT_AF041_Phonological.wav,1.3532009,1.8898735,2.9625158,1.7750437,1.7115244,NISQAv2
REDLAT_AF041_Phonological2.wav,1.3908178,1.6677947,2.8395042,1.7597327,1.8634236,NISQAv2
REDLAT_AF041_Semantic.wav,1.5984689,1.7086067,2.9156744,1.6709437,2.0317109,NISQAv2
REDLAT_AF041_Semantic2.wav,1.5699261,1.694987,2.6014884,1.766652,2.0564444,NISQAv2
REDLAT_AF042_CraftDe.wav,1.3043879,1.6801351,2.1667469,1.605023,2.0488718,NISQAv2
REDLAT_AF042_Fugu.wav,1.6789383,1.7357154,3.306804,2.1882162,2.7292006,NISQAv2
REDLAT_AF042_Phonological.wav,1.7349803,1.7455391,2.8237717,2.0575168,2.150755,NISQAv2
REDLAT_AF042_Phonological2.wav,1.449506,1.5746402,2.4101653,1.7683551,2.0480494,NISQAv2
REDLAT_AF042_Semantic.wav,1.7193774,1.8667219,2.9070628,2.1362906,2.1567984,NISQAv2
REDLAT_AF042_Semantic2.wav,1.631919,1.7292328,2.5076473,1.8643899,2.1140795,NISQAv2
REDLAT_AF043_CraftDe.wav,1.714526,1.593667,2.5633938,1.9537882,2.4456158,NISQAv2
REDLAT_AF043_CraftIm.wav,1.9078757,1.6605122,3.1235538,2.1442587,2.595989,NISQAv2
REDLAT_AF043_Fugu.wav,1.6545156,1.5226208,3.187236,2.219433,2.4182236,NISQAv2
REDLAT_AF043_Phonological.wav,1.3478804,1.5415429,2.3033698,1.568696,1.8612901,NISQAv2
REDLAT_AF043_Phonological2.wav,1.3533822,1.4615213,2.3887687,1.5718936,1.8248156,NISQAv2
REDLAT_AF043_Semantic.wav,1.5597866,1.5419285,2.6612363,1.8004856,2.2084131,NISQAv2
REDLAT_AF043_Semantic2.wav,1.6052994,1.6492498,2.5520551,1.7480618,2.057153,NISQAv2
REDLAT_AF044_CraftDe.wav,1.7078129,1.631927,2.6967266,2.1075344,2.5973623,NISQAv2
REDLAT_AF044_CraftIm.wav,1.4870886,1.6206641,2.3811626,1.9503034,2.4480937,NISQAv2
REDLAT_AF044_Fugu.wav,1.6220872,1.6284132,2.6987784,2.0129995,2.440512,NISQAv2
REDLAT_AF044_Phonological.wav,2.1146004,1.6522126,3.311136,2.5388882,2.7888186,NISQAv2
REDLAT_AF044_Semantic.wav,1.7977947,1.5817533,3.0587046,2.1635804,2.5262234,NISQAv2
REDLAT_AF044_Semantic2.wav,1.6348855,1.5925676,2.491846,1.8609761,2.3448942,NISQAv2
REDLAT_AF045_CraftDe.wav,1.4994473,1.7444301,2.947396,1.8655524,2.4346778,NISQAv2
REDLAT_AF045_CraftIm.wav,1.6519842,1.6579044,2.8955157,2.0145562,2.5481846,NISQAv2
REDLAT_AF045_Fugu.wav,1.4786125,1.6578228,2.6360588,1.8127539,2.2666,NISQAv2
REDLAT_AF045_Phonological.wav,1.4754641,1.8742346,2.7642238,1.9443657,2.061594,NISQAv2
REDLAT_AF045_Phonological2.wav,1.4228089,1.8500376,2.957788,2.1016047,1.9052395,NISQAv2
REDLAT_AF045_Semantic.wav,1.7752979,1.8796682,2.9881377,2.1681087,2.4187005,NISQAv2
REDLAT_AF045_Semantic2.wav,1.5120245,1.67338,2.4059608,1.7917054,2.3533502,NISQAv2
REDLAT_AF046_CraftDe.wav,1.4637444,1.769613,2.9647648,1.7254442,1.9625194,NISQAv2
REDLAT_AF046_CraftIm.wav,1.4616807,1.7975742,3.2640827,1.9577744,2.1858768,NISQAv2
REDLAT_AF046_Fugu.wav,1.6268891,1.9521914,3.513848,1.9838587,2.2460136,NISQAv2
REDLAT_AF046_Phonological.wav,1.1196887,1.4888301,2.9016492,1.7852077,1.5906707,NISQAv2
REDLAT_AF046_Phonological2.wav,1.3399789,1.686448,2.8243704,1.6327075,1.6045824,NISQAv2
REDLAT_AF046_Semantic.wav,1.3880409,1.6186175,3.2234151,1.8115528,1.9512488,NISQAv2
REDLAT_AF046_Semantic2.wav,1.1671917,1.560279,2.9075456,1.6845992,1.8323224,NISQAv2
REDLAT_AF047_CraftDe.wav,1.8233378,2.0152853,3.7283607,2.081134,1.9959381,NISQAv2
REDLAT_AF047_CraftIm.wav,1.312419,1.5811204,2.56701,1.570435,2.042502,NISQAv2
REDLAT_AF047_Fugu.wav,1.8980435,1.8624103,3.3195183,2.414029,2.3871667,NISQAv2
