deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
TUM0009_0283_A__20250527__Lámina_1__OQYX.wav,2.1936882,3.7890484,2.5471153,2.4702218,2.9433997,NISQAv2
HUA0004_0068A__20250129__Recuerdo_agradable__MGE2.wav,1.4917234,3.2460837,2.0213706,2.321807,2.7316873,NISQAv2
LIM0003_0154_P__20250509__Rutina__cnj2.wav,2.0474813,3.3273792,2.2675586,2.4580843,3.2537405,NISQAv2
PRUEBATum01_0001_P__20250227__Rutina__PhkZ.wav,1.2140404,3.516668,2.1409016,1.8585443,2.5383465,NISQAv2
TUM0004_0082_A__20241022__Recuerdo_agradable__aBk4.wav,1.8725995,3.1307368,2.5608246,2.3913043,3.640556,NISQAv2
TUM0004_0109A__20250125__Rutina__BJLp.wav,2.4789865,3.5479107,3.2908893,2.671201,2.5920117,NISQAv2
LIM0007_0031_A__20241115__Recuerdo_agradable__JAiB.wav,1.881232,3.1743116,2.209603,2.2973268,3.12436,NISQAv2
LIM0002_0002_P__20241026__Rutina__wJh3.wav,2.0596912,3.6632073,2.1520884,2.5350926,3.3163753,NISQAv2
TUM0009_0169_A__20250305__Recuerdo_agradable__pVRC.wav,1.658556,3.3980231,2.0731125,2.0921452,2.7142932,NISQAv2
LIM0004_0103_P__20250317__Rutina__rnyO.wav,1.884071,3.2141576,2.1869366,2.1066535,3.1064508,NISQAv2
IQT0012_0065_A__20250326__Recuerdo_agradable__7OGD.wav,1.9316715,3.777083,3.3302763,2.041277,3.7464101,NISQAv2
LIM0008_0088_A__20250312__Recuerdo_agradable__HdV1.wav,1.5548517,3.2608426,1.8215678,1.9918667,2.9463365,NISQAv2
TUM0002_0236_P__20250503__Recuerdo_agradable__dKqg.wav,1.1555339,3.0805385,2.1733615,2.2792795,2.6216085,NISQAv2
LIM0007_0077_P__20250313__Recuerdo_agradable__vFoF.wav,1.4361254,3.569085,1.8165689,2.1757088,3.2089217,NISQAv2
LIM0004_0013_P__20241110__Recuerdo_agradable__a5rL.wav,1.4203576,2.7478967,1.9341121,1.9501686,2.6224163,NISQAv2
LIM0002_0098_A__20250318__Re-narración_de_video__zA6z.wav,1.6797905,2.6489146,3.9201813,2.8983161,1.6000639,NISQAv2
LIM0007_0049_A__20250116__Lámina_1__JMg0.wav,2.3457763,3.3462079,3.950906,2.9495528,2.1064084,NISQAv2
LIM0007_0005_P__20241016__Recuerdo_agradable__PPvu.wav,2.6238306,3.714526,2.5528128,2.7679422,2.706435,NISQAv2
LIM0005_0035__20241111__Re-narración_de_video__Twxn.wav,2.59605,3.6929376,2.952171,2.9561536,3.5820577,NISQAv2
TUM0007_0209_A__20250523__Rutina__rmWs.wav,1.9092706,3.132002,2.359374,2.3207018,2.5740135,NISQAv2
LIM0010_0010_A__20250117__Recuerdo_agradable__LT9T.wav,1.552411,3.0997918,3.910475,2.5208392,1.5572181,NISQAv2
LIM0002_0097_P__20250324__Recuerdo_agradable__zr53.wav,1.7472773,3.0777562,2.5935607,2.2172291,2.480069,NISQAv2
LIM0002_0004_A__20241024__Lámina_1__53JV.wav,1.875785,3.459805,2.464135,2.3530655,2.584891,NISQAv2
LIM0007_0046_A__20241216__Lámina_1__K2bG.wav,2.0368218,3.1909647,2.7239938,2.3151264,3.3897283,NISQAv2
TUM0004_0193A__20250314__Rutina__IjnI.wav,1.5920885,3.2617843,2.9895363,2.0672894,3.1988091,NISQAv2
IQT0012_0051_P__20250314__Recuerdo_agradable__JmTE.wav,1.1775935,2.7372956,2.0676339,2.006436,2.1338248,NISQAv2
LIM0002_0062_A__20250211__Re-narración_de_video__bWpt.wav,1.528222,2.870128,1.9638155,2.063163,2.8852172,NISQAv2
TUM0004_0115_A__20241105__Lámina_1__dkTN.wav,1.8955088,3.5427656,2.3808932,2.2723682,2.4627786,NISQAv2
LIM0002_0097_A__20250324__Recuerdo_agradable__78sU.wav,1.8098879,2.424628,2.2417767,2.0760067,2.887406,NISQAv2
LIM0002_0017_A__20241029__Recuerdo_agradable__Cz2Y.wav,1.5920135,3.4304023,2.070725,1.9366875,3.1434019,NISQAv2
LIM004_0064_A__20250125__Recuerdo_agradable__LI77.wav,1.2479341,2.987892,1.717494,1.9767525,2.8450985,NISQAv2
LIM0006_0161_A__20250529__Recuerdo_agradable__zQxq.wav,1.9393326,3.565521,2.0338552,2.2920983,3.3030055,NISQAv2
LIM0002_0152_A__20250508__Lámina_1__WoRx.wav,1.0852582,2.816694,1.870161,2.0158682,2.2986135,NISQAv2
LIM0010_0036_A__20250303__Rutina__jjEi.wav,1.9199249,3.6046245,2.307364,2.4109,3.1478646,NISQAv2
LIM0007_0031_A__20241115__Lámina_1__pBZL.wav,1.4919492,3.0837324,1.9423757,2.191519,2.7088144,NISQAv2
LIM0002_0023P__20241012__Rutina__quJg.wav,3.6978528,4.231275,3.783583,3.629269,3.6182115,NISQAv2
TUM0004_0185_A__20250311__Rutina__x3Fc.wav,1.2139423,3.1586096,1.8423779,2.036872,2.7787669,NISQAv2
LIM0004_0103_P__20250317__Re-narración_de_video__QiCx.wav,1.9461819,3.472271,2.1209552,2.4468024,3.0229442,NISQAv2
LIM0010_0128_A__20250613__Rutina__jJpK.wav,2.225214,3.574022,2.579477,2.5086846,3.178968,NISQAv2
TUM0006_0129P__20250208__Rutina__6Gdv.wav,2.3693964,3.5984995,2.422342,2.44791,3.3206275,NISQAv2
LIM0003_0143_A__20250507__Recuerdo_agradable__WKIy.wav,1.6539339,3.2940128,2.0610118,2.3013163,2.9545832,NISQAv2
TUM0009_0316-P__20250609__Rutina__nkIi.wav,1.5320319,3.074149,1.8595395,2.1613805,2.8871748,NISQAv2
TUM0004_0259P__20250425__Rutina__qtqc.wav,1.4167813,3.3216007,1.9042032,2.1799335,1.9428172,NISQAv2
LIM0004_0075_A__20250227__Re-narración_de_video__9K3P.wav,1.7293533,3.4004257,2.027386,2.3105533,2.8405607,NISQAv2
HUA0006_0013A__20241125__Re-narración_de_video__6Lhs.wav,2.2994053,3.4755888,2.0764086,2.5498233,3.3801005,NISQAv2
LIM0006_0078_A__20250222__Recuerdo_agradable__uw9M.wav,2.2771113,3.342964,3.8639865,2.658784,2.1505,NISQAv2
LIM0006_0067_A__20250314__Recuerdo_agradable__fG32.wav,2.4849346,3.6580997,2.9374845,2.7405999,3.5765007,NISQAv2
LIM0007_0135_A__20250528__Rutina__uyDh.wav,1.707063,3.430294,2.046882,2.126162,2.968657,NISQAv2
IQT0004_0047_P__20250115__Rutina__VjQh.wav,1.5828614,3.6211607,2.298602,2.0634525,2.9520469,NISQAv2
TUM0008_0209P__20250409__Re-narración_de_video__qA0r.wav,1.7658103,3.5086908,2.079506,2.2868555,2.3671496,NISQAv2
IQT0011_0380_P__20250609__Rutina__uhcc.wav,1.3050376,1.7377611,3.05039,1.8970926,1.6077791,NISQAv2
LIM0008_0103_P__20250328__Recuerdo_agradable__e2ub.wav,2.0354404,3.3470218,3.8868086,2.617469,2.0034885,NISQAv2
LIM0007_0078_P__20250314__Recuerdo_agradable__xDF4.wav,1.9623944,3.505862,2.5167768,2.4055076,3.2950408,NISQAv2
LIM0003_0091_A__20250219__Rutina__5icf.wav,1.9149888,3.5290985,1.9841976,2.3859508,3.104084,NISQAv2
LIM0007_0005_A__20241016__Recuerdo_agradable__VmAF.wav,2.0163534,3.454176,2.437763,2.655699,2.4012403,NISQAv2
LIM0004_0111_A__20250327__Re-narración_de_video__6nZy.wav,1.8294095,3.4292226,1.9847753,2.2777472,3.2061589,NISQAv2
