id,STOI,PESQ,SI-SDR
LIM0004_0059_P__20250121__Re-narración_de_video__zH0m.wav,0.9021713137626648,1.9900304079055786,8.665901184082031
LIM0003_0101_A__20250306__Rutina__TtU1.wav,0.9298768639564514,2.360893964767456,9.725708961486816
LIM0007_0031_A__20241115__Rutina__VyUc.wav,0.8794403076171875,1.575492262840271,8.351611137390137
LIM0008_0100_P__20250326__Recuerdo_agradable__mlLm.wav,0.9461377859115601,2.665966033935547,16.154375076293945
LIM0006_0026A__20241031__Re-narración_de_video__eb5Y.wav,0.8902781009674072,1.982353687286377,13.86089038848877
LIM0006_0115_P__20250405__Recuerdo_agradable__itSf.wav,0.9364802241325378,1.6866929531097412,11.521851539611816
TUM0007_0133A__20250219__Rutina__CZ2u.wav,0.8970640301704407,2.062028408050537,12.339468002319336
LIM0007_0135_P__20250528__Recuerdo_agradable__64Gb.wav,0.9660683274269104,2.5783634185791016,16.063430786132812
TUM0010_0100A__20241026__Re-narración_de_video__fC37.wav,0.8910340666770935,2.216458797454834,15.313082695007324
LIM0007_0124_A__20250521__Rutina__bYme.wav,0.9068641662597656,1.9603599309921265,11.632486343383789
LIM0007_0118_A__20250512__Re-narración_de_video__u6DV.wav,0.9550231099128723,2.365339756011963,14.5130615234375
LIM0002_0192_A__20250602__Rutina__PmMO.wav,0.9262469410896301,1.9268841743469238,9.954526901245117
LIM0002_0057_A__20250116__Rutina__3qKG.wav,0.9110627770423889,2.170361042022705,13.859097480773926
LIM0002_0093_P__20250313__Recuerdo_agradable__iS7l.wav,0.7850697636604309,1.5091063976287842,7.79058313369751
LIM0007_0135_A__20250528__Recuerdo_agradable__UKLW.wav,0.9484712481498718,2.3004097938537598,14.186917304992676
LIM0006_0079_P__20250226__Lámina_1__u5EK.wav,0.8774294257164001,1.4679653644561768,5.374810695648193
LIM0002_0091_A__20250307__Rutina__nndE.wav,0.8924071192741394,1.8328819274902344,9.2559175491333
LIM0006_0111_A__20250320__Rutina__9vln.wav,0.9750012159347534,3.275552272796631,18.32614517211914
TUM0003_0049A__20241031__Rutina__YDvz.wav,0.8577380776405334,1.7606769800186157,7.9150238037109375
IQT0003_0184_A__20250314__Recuerdo_agradable__voJR.wav,0.9798220992088318,2.2091422080993652,14.559706687927246
LIM0003_0105_A__20250310__Lámina_1__H16R.wav,0.8562061786651611,1.8114336729049683,10.687551498413086
LIM0003_0171_A__20250605__Recuerdo_agradable__i9bg.wav,0.7248892784118652,1.20633065700531,-0.3978806734085083
IQT0012_0102_A__20250517__Recuerdo_agradable__boNz.wav,0.8030918836593628,1.8677616119384766,10.56220817565918
LIM0002_0064_A__20250126__Re-narración_de_video__9MGP.wav,0.8908702731132507,1.7311501502990723,8.0990571975708
LIM0007_0049_A__20250116__Rutina__KuGi.wav,0.9641674757003784,2.6964597702026367,21.068504333496094
LIM0008_0137_A__20250513__Recuerdo_agradable__pL0z.wav,0.9295552968978882,2.182940721511841,17.391111373901367
Tum0004_0318__20250605__Rutina__0tSw.wav,0.9315676093101501,2.3954100608825684,14.476401329040527
TUM0004_0175__A__20250116__Lámina_1__lD52.wav,0.7639413475990295,1.6845110654830933,1.7140768766403198
LIM0004_0063_A__20250129__Rutina__wwKp.wav,0.9381822943687439,2.4257264137268066,10.638463020324707
TUM0009_0303_A__20250602__Re-narración_de_video__bJU9.wav,0.9040929079055786,2.115591287612915,12.045170783996582
