id,STOI,PESQ,SI-SDR,MOS,MOS_z_score_vs_ref,MOS_percentile_rank_vs_ref,PESQ_z_score_vs_ref,PESQ_percentile_rank_vs_ref,STOI_z_score_vs_ref,STOI_percentile_rank_vs_ref,SI-SDR_z_score_vs_ref,SI-SDR_percentile_rank_vs_ref
LIM0004_0059_P__20250121__Re-narración_de_video__zH0m.wav,0.902171313762665,1.99003040790558,8.66590118408203,1.6702608,-0.19701559078734193,46.4318756553383,1.479953383765508,90.76050083266514,1.2027114015825933,87.10910997347807,0.8074190405811349,76.148769505952
LIM0003_0101_A__20250306__Rutina__TtU1.wav,0.929876863956451,2.36089396476746,9.72570896148682,1.4606583,-0.6434117875639553,27.823351631406894,2.5226767146507814,96.66933941898476,1.3607670106546665,92.78356874113365,0.9186563867239328,79.66446678591254
LIM0007_0031_A__20241115__Rutina__VyUc.wav,0.879440307617188,1.57549226284027,8.35161113739014,1.5796012,-0.39009582905400914,38.40745081107753,0.31443418565652803,73.54591994078825,1.0730347484926928,82.42151360019737,0.7744311804630367,75.03238142231542
LIM0008_0100_P__20250326__Recuerdo_agradable__mlLm.wav,0.94613778591156,2.66596603393555,16.1543750762939,1.5694389,-0.4117387582676538,37.426756306667485,3.380420103660785,98.5813853080861,1.4535328971182624,95.26306050700055,1.5934087079424035,95.09652747794979
LIM0006_0026A__20241031__Re-narración_de_video__eb5Y.wav,0.890278100967407,1.98235368728638,13.8608903884888,1.8347634,0.15333011119552759,60.26028495651637,1.4583694466376305,90.58163202368469,1.1348625778259764,84.6912971072596,1.3526847242825442,91.26009991981742
LIM0006_0115_P__20250405__Recuerdo_agradable__itSf.wav,0.936480224132538,1.68669295310974,11.5218515396118,2.3709285,1.2952156396808874,89.1630173317708,0.6270870522138828,79.95435761426016,1.3984380948689694,93.76426324554369,1.1071793792367473,85.16622463455252
TUM0007_0133A__20250219__Rutina__CZ2u.wav,0.897064030170441,2.06202840805054,12.3394680023193,1.8250053,0.13254801781512485,59.538641830629736,1.6823836121855815,92.41349534324307,1.1735751883247232,86.06056867945475,1.1929963428534487,87.59020539073582
LIM0007_0135_P__20250528__Recuerdo_agradable__64Gb.wav,0.96606832742691,2.5783634185791,16.0634307861328,1.6260961,-0.2910743644745838,42.5461049774872,3.1341157979703804,98.20514402023068,1.5672333598887664,97.8350706223401,1.583863201955333,95.01017701844198
TUM0010_0100A__20241026__Re-narración_de_video__fC37.wav,0.891034066677094,2.21645879745483,15.3130826950073,1.860566,0.20828261656616126,62.27718497502004,2.1165814918373753,95.1705421575279,1.1391752379192228,84.84549435638068,1.5051067216580243,93.86911737494603
LIM0007_0124_A__20250521__Rutina__bYme.wav,0.906864166259766,1.96035993099213,11.6324863433838,1.449144,-0.6679341082831498,26.824153457102323,1.3965316025100654,90.0388577067785,1.229483353575124,88.03429346820452,1.1187916000800049,85.51162647258373
LIM0007_0118_A__20250512__Re-narración_de_video__u6DV.wav,0.955023109912872,2.36533975601196,14.5130615234375,2.3037648,1.1521752644876266,86.82538703509529,2.5351765415254173,96.73101831863319,1.5042222098013605,96.60766051933633,1.421136558501271,92.50601369271571
LIM0002_0192_A__20250602__Rutina__PmMO.wav,0.92624694108963,1.92688417434692,9.95452690124512,2.0304391,0.5700660197920454,73.8974896687843,1.3024108623425483,89.15684944180596,1.3400588974575962,92.1174366249306,0.9426731008028806,80.29359156232653
LIM0002_0057_A__20250116__Rutina__3qKG.wav,0.911062777042389,2.1703610420227,13.8590974807739,1.490708,-0.579414116761946,30.33985073706285,1.986972625716225,94.57225683093813,1.2534357378397363,88.84228705359895,1.3524965408210368,91.26009991981742
LIM0002_0093_P__20250313__Recuerdo_agradable__iS7l.wav,0.785069763660431,1.50910639762878,7.79058313369751,1.6056917,-0.3345301751519792,40.81909578733115,0.12778308657642612,68.85215567754271,0.5346663097062451,63.60944920742614,0.7155457225780416,72.97847406402269
LIM0007_0135_A__20250528__Recuerdo_agradable__UKLW.wav,0.948471248149872,2.30040979385376,14.1869173049927,1.707237,-0.11826636283800301,49.60217109726762,2.3526188726384003,96.10806143218404,1.4668449155673968,95.63313390489112,1.3869044853903754,91.9015604761611
LIM0006_0079_P__20250226__Lámina_1__u5EK.wav,0.8774294257164,1.46796536445618,5.37481069564819,1.2758677,-1.03696539994963,14.124468019490532,0.012110585593075143,65.53383087645716,1.0615629978370302,81.93425029297477,0.46198642567274584,64.18306297415654
LIM0002_0091_A__20250307__Rutina__nndE.wav,0.892407119274139,1.83288192749023,9.2559175491333,2.4549606,1.4741811093062591,91.50681551841114,1.038113294842239,86.19009436871646,1.1470082772559624,85.09837784493924,0.8693471147360916,78.25201998396348
LIM0006_0111_A__20250320__Rutina__9vln.wav,0.975001215934753,3.27555227279663,18.3261451721191,2.6887827,1.9721584529081764,96.188244001727,5.094338286470474,99.9013137605625,1.6181940202620342,98.82810090667982,1.8213575370059722,97.53284401406279
TUM0003_0049A__20241031__Rutina__YDvz.wav,0.857738077640533,1.76067698001862,7.91502380371094,1.5448782,-0.46404635512442466,35.206315919324,0.8351012114467453,83.56257324369332,0.9492270943154525,78.04847961512367,0.7286070061236506,73.45340159131561
IQT0003_0184_A__20250314__Recuerdo_agradable__voJR.wav,0.979822099208832,2.20914220809937,14.5597066879272,2.9478056,2.523806631904367,98.52587429840251,2.09601010302797,95.06568802812558,1.6456963667890068,99.23518164435946,1.4260324315254662,92.54918892246961
LIM0003_0105_A__20250310__Lámina_1__H16R.wav,0.856206178665161,1.81143367290497,10.6875514984131,2.2046702,0.9411307752229473,82.96428791710355,0.977809188253662,85.51162647258373,0.9404878625046506,77.67840621723307,1.0196113084522245,82.6127181891075
LIM0003_0171_A__20250605__Recuerdo_agradable__i9bg.wav,0.724889278411865,1.20633065700531,-0.397880673408508,1.5604593,-0.430862858832176,36.65577006106211,-0.7235039243275322,22.592980941220006,0.19134653501545282,52.72312341947819,-0.14391483461781596,43.87220131992845
IQT0012_0102_A__20250517__Recuerdo_agradable__boNz.wav,0.803091883659363,1.86776161193848,10.5622081756592,1.5426751,-0.46873835765835703,35.00277555048418,1.1361813311191267,87.3990008018257,0.6374795414694633,67.10047492752729,1.0064552825415574,82.29198791093566
LIM0002_0064_A__20250126__Re-narración_de_video__9MGP.wav,0.890870273113251,1.73115015029907,8.0990571975708,1.6899506,-0.1550816833420963,48.128045395670135,0.7520833099409423,82.15012644174428,1.1382408225651073,84.81465490655646,0.7479231375684987,74.17504471720224
LIM0007_0049_A__20250116__Rutina__KuGi.wav,0.964167475700378,2.69645977020264,21.0685043334961,2.1564689,0.8384751437314888,80.77468697958427,3.4661565683611943,98.70474310738295,1.5563893132883093,97.63769814346512,2.109195352302031,99.10565595509776
LIM0008_0137_A__20250513__Recuerdo_agradable__pL0z.wav,0.929555296897888,2.18294072151184,17.3911113739014,1.6296514,-0.28350254448961293,42.82982791586998,2.0223417663494474,94.71411830012951,1.358932523451085,92.72805773145006,1.7232164585150649,96.70017886880898
Tum0004_0318__20250605__Rutina__0tSw.wav,0.93156760931015,2.39541006088257,14.4764013290405,1.9300299,0.35622179082825756,67.53839511503115,2.619722482681604,97.0332449269105,1.3704124349395315,93.0487880096219,1.4172887072014935,92.44433479306728
TUM0004_0175__A__20250116__Lámina_1__lD52.wav,0.76394134759903,1.68451106548309,1.71407687664032,1.6263922,-0.2904437521781393,42.570776537346575,0.6209524372279047,79.84333559489298,0.4141321695807072,59.64349596003207,0.07775607405296141,50.93443532967372
LIM0004_0063_A__20250129__Rutina__wwKp.wav,0.938182294368744,2.42572641372681,10.6384630203247,1.720949,-0.08906354011307847,50.73089496083389,2.704960214545919,97.27379263553938,1.4081481257467294,94.05415407389131,1.0144589854129336,82.48936038981064
TUM0009_0303_A__20250602__Re-narración_de_video__bJU9.wav,0.904092907905579,2.11559128761291,12.0451707839966,2.2180731,0.9696752991946426,83.52556590390427,1.8329814888323874,93.6224017763523,1.2136737802584627,87.46067970147412,1.1621069285262682,86.67735767593905
PRUEBA__Audifono_4__20250522__Recuerdo_agradable__DwDm.wav,0.82652872800827,1.32350611686707,6.92744445800781,1.329828,-0.9220446681028006,17.535311170048725,-0.39405234154348456,49.774872016283226,0.7711828854703603,72.0039474495775,0.6249507508445408,69.89452908160118
TUM0004_0126_A__20241111__Recuerdo_agradable__U5Kk.wav,0.820878386497498,1.51048374176025,5.67796945571899,0.9602138,-1.7092221738798332,2.053907358292728,0.1316556397943647,68.93233824708567,0.7389486160657195,70.83204835625732,0.4938059467681611,65.25010793807438
LIM0004_0014_P__20241011__Recuerdo_agradable__o8gZ.wav,0.928244709968567,2.14226007461548,16.2858047485352,1.2981894,-0.9894262628420645,15.481403811755998,1.907963691584506,94.17751187318818,1.3514558404793755,92.49984580275087,1.6072035566463265,95.30623573675445
LIM0004_0103_A__20250317__Lámina_1__1DoJ.wav,0.897132396697998,2.06298685073853,8.86273002624512,2.2156534,0.9645219976961379,83.42687966446678,1.6850783783161218,92.43816690310244,1.173965208125001,86.0667365694196,0.8280781813360714,76.90125208166286
LIM0007_0129_A__20250602__Lámina_1__n6kE.wav,0.854956984519959,1.70978307723999,14.0740594863892,1.8243567,0.13116667659434142,59.489298710910994,0.692007454065649,81.09541725775611,0.9333614152733861,77.49336951828779,1.3750589370743775,91.6425090976377
LIM0004_0007_A__20241017__Recuerdo_agradable__fB2S.wav,0.841193914413452,1.48873639106751,8.91638660430908,1.1163825,-1.3766254074502922,5.8101523468821314,0.07051059188471186,67.31018318633195,0.85484536296003,74.90902362301856,0.8337099718118446,77.0801208906433
LIM0004_0054_P__20250114__Rutina__msYT.wav,0.911009848117828,1.945432305336,11.6301765441895,1.7637795,0.0021537512171333627,54.39462159995065,1.354560955196867,89.59476962930981,1.253133787026614,88.82378338370442,1.1185491637269467,85.51162647258373
TUM0003_0065_A__20241206__Rutina__LnRd.wav,0.960736989974976,2.24846887588501,14.9741735458374,1.8709123,0.23031741562967403,63.134521680133226,2.206581317878647,95.55911922531301,1.5368189561956331,97.26762474557454,1.46953484235979,93.30167149818047
LIM0007_0113_A__20250514__Recuerdo_agradable__wlAv.wav,0.922539591789246,2.03881001472473,11.5774812698364,1.7677735,0.010659882632196716,54.70918398815765,1.6171025675034,91.9015604761611,1.3189090791859297,91.32177881946586,1.1130182716177575,85.34509344353296
IQT0012_0073_A__20250402__Recuerdo_agradable__ReIk.wav,0.808147311210632,1.57253050804138,9.15648555755615,1.7874652,0.052597836559587725,56.47320051810275,0.3061068890752836,73.34237957194843,0.6663199245388013,68.19219145130451,0.8589107402344628,77.90045025596743
LIM0007_0001_A__20241009__Recuerdo_agradable__OvXQ.wav,0.700613856315613,1.36064410209656,1.64532911777496,2.1941996,0.9188312510380303,82.4831924998458,-0.289634846364027,54.45013260963424,0.052859242827862744,48.553629803244306,0.0705403143534298,50.687719731079994
TUM0007_0187_A__20250416__Rutina__pZSR.wav,0.921460390090942,2.57666206359863,15.5961179733276,2.707929,2.012934853487101,96.48430272003947,3.1293322529187586,98.18664035033615,1.3127524109175148,91.05655955097761,1.5348140835932567,94.40572380188736
TUM0003_0286_A__20250611__Recuerdo_agradable__UDjz.wav,0.832288146018982,1.46528494358063,5.42277145385742,1.4583092,-0.648414730304848,27.656818602356132,0.0045742900153222426,65.3117868377228,0.8040394183750174,73.21902177265157,0.46702038331670215,64.36193178313698
TUM0008_0090__20241213__Rutina__WklP.wav,0.945422291755676,2.62589740753174,16.4436073303223,2.331412,1.2110562651031833,87.9171035588725,3.2677627912483427,98.42718805896502,1.4494511205859522,95.1705421575279,1.6237665039908566,95.47893665577006
IQT0007_0212_P__20250409__Re-narración_de_video__igur.wav,0.88602739572525,1.3287912607193,0.261687695980072,1.75643,-0.01349868063940352,53.71615370381792,-0.37919258328511946,50.385493122802686,1.1106130032340356,83.91414297168939,-0.07468658721791475,46.04946647751804
IQT0011_0150_A__20250408__Re-narración_de_video__Z21M.wav,0.859117746353149,1.65452241897583,6.44645214080811,1.6156842,-0.313248873658484,41.602417812866214,0.5366360874647038,78.24585209399864,0.9570978775038372,78.39388145315488,0.5744658327102462,67.976315302535
LIM0007_0092_A__20250410__Rutina__lxIp.wav,0.928093373775482,2.22056531906128,10.7172508239746,1.4138701,-0.7430579012029793,23.851230494047986,2.1281274251290223,95.22605316721149,1.3505924923774464,92.45667057299697,1.022728547472476,82.72990809843952
TUM0009_0283_A__20250527__Lámina_1__OQYX.wav,0.918219804763794,2.30092477798462,9.114426612854,2.1936882,0.9177421084226911,82.44618516005674,2.3540668066786896,96.10806143218404,1.2942654043773127,90.42126688459878,0.8544962365008797,77.74625300684636
HUA0004_0068A__20250129__Recuerdo_agradable__MGE2.wav,0.913205206394196,1.49796175956726,3.99798178672791,1.4917234,-0.5772515915143608,30.44470486646518,0.0964487214008618,68.08733732190217,1.2656579450771037,89.34805403071609,0.3174745649502151,59.347437241719604
LIM0003_0154_P__20250509__Rutina__cnj2.wav,0.882323920726776,1.91043972969055,14.481858253479,2.0474813,0.6063612608540855,74.77333004379201,1.2561755130088452,88.66341824461851,1.089485287217831,83.03830259668167,1.4178614655880444,92.44433479306728
PRUEBATum01_0001_P__20250227__Rutina__PhkZ.wav,0.714447796344757,1.29816365242004,-0.429339796304703,1.2140404,-1.1686406976057493,10.220193671744896,-0.4653054438020339,45.6855609695923,0.1317795963988703,50.854252760130755,-0.14721678183651074,43.74884352063159
TUM0004_0082_A__20241022__Recuerdo_agradable__aBk4.wav,0.901634395122528,1.84049701690674,10.3187456130981,1.8725995,0.23391069177476512,63.270215259359766,1.0595239491231874,86.41830629741565,1.1996483690098618,87.00425584407574,0.9809014699334454,81.49633010547092
TUM0004_0109A__20250125__Rutina__BJLp.wav,0.93816751241684,1.52623081207275,11.2239980697632,2.4789865,1.5253497279254795,92.11126873496576,0.17593024511518301,70.08573367051132,1.4080637971412655,94.05415407389131,1.0759167010117248,84.33355948929871
LIM0007_0031_A__20241115__Recuerdo_agradable__JAiB.wav,0.917008519172668,1.86368632316589,10.2493352890015,1.881232,0.2522955639431511,63.91784370566829,1.1247232123456583,87.22013199284524,1.287355219214898,90.14987972614568,0.973616167436115,81.31129340652562
LIM0002_0002_P__20241026__Rutina__wJh3.wav,0.943010449409485,2.36646127700806,14.5896406173706,2.0596912,0.632365019983976,75.48263738974896,2.538329820102064,96.73718620859803,1.4356919565070323,94.74495774995374,1.429174294551857,92.58619626225868
TUM0009_0169_A__20250305__Recuerdo_agradable__pVRC.wav,0.900787532329559,1.80747318267822,8.80519390106201,1.658556,-0.22194362458479655,45.389502251279836,0.9666738381100151,85.38210078332202,1.1948171559999425,86.8130512551656,0.8220391938808354,76.71621538271756
LIM0004_0103_P__20250317__Rutina__rnyO.wav,0.868553698062897,1.79801821708679,10.6183938980103,1.884071,0.2583418601593166,64.08437673471904,0.9400901713342221,85.05520261518534,1.0109284307405455,80.29975945229137,1.012352531815154,82.45852093998643
